"ID","X","Y","Date","OCSKGM","type","top","bottom","aridez.sdat","Aspect.sdat","biocl1.sdat","biocl12.sdat","biocl2.sdat","biocl5.sdat","CatchmentArea.sdat","Curvature.sdat","gcarb.sdat","geaisg3a_ARG","LSTDm.sdat","LSTDs.sdat","Mid.SlopePositon.sdat","MRRTF.sdat","MRVBF.sdat","NormalizedHeight.sdat","PCEVI1.sdat","PCEVI2.sdat","PCEVI3.sdat","PlanCurvature.sdat","ProfileCurvature.sdat","Slope.sdat","SlopeHeight.sdat","soiltypes","srtm_w_250m.sdat","StandardizedHeight.sdat","treecov.sdat","TRI.sdat","TWI.sdat","ValleyDepth.sdat","ARG_probHist_soilGrids"
"data1270",-65.859806,-43.365417,"2011-05-05 00:00:00",8.10292322318985,"SP",0,30,8,2.28420477065735,13,181,127,27,157394.751290763,-4.12473689959181e-05,300,80,21,551,0.418500781059265,0.107420824432381,6.59547808209723,0.290749609470367,2207,-323,119,-1.65500750874622e-05,-2.46972947130822e-05,0.00400542818863127,43.9731638519616,14,36.7154224396476,-363.7254705986,5,1.03750651825787,17.4392018358296,107.267503229992,0.683254424233394
"data1271",-60.818033,-37.576014,"1988-12-15 00:00:00",8.27071506997291,"SP",0,30,37,3.96509296414303,13,788,129,30,424787.765483161,-8.59456959527705e-05,460,72,22,489,0.0750465450217686,9.28238449849689,7.75916119859833,0.462476727489116,3401,-322,59,-4.69622425203609e-05,-3.89834554342187e-05,0.0164064713013765,10.9063287972428,14,214.984422114775,-184.401679891093,35,3.54956101596114,16.5472805717126,12.6743470415706,0
"data1272",-60.816667,-31.45,"1994-01-01 00:00:00",5.30610289306624,"SP",0,30,36,1.23901629669699,18,953.93321299198,125,32,69314.4161480327,1.34555950784312e-06,661.209386625568,72,26,333.688929002673,0.0106454091103337,0.532344672716299,7.97335461487484,0.494677295444833,4067.66907267936,-434.439229652463,284.353188842271,7.69922721397585e-06,-6.35366754810002e-06,0.00161137463629191,18.7208426536399,14,21.8351293049095,-255.968111743616,5.62214199465327,0.482293160685334,17.4815950903019,19.1223946317985,0.221974814342989
"data1273",-59.007117,-34.8361,"2011-05-20 00:00:00",6.2528388358899,"SP",0,30,39,3.01330107346458,16,1033,129,31,66455.9305319084,2.3027501745079e-05,1392,72,24,406,0.53459631228883,9.76151726099603,8.84375198618208,0.767298156144415,4125,-311,208,1.82271713304232e-05,4.80033082576733e-06,0.0045435765967749,19.2302849762774,14,34.1416251782669,-95.9568496297477,5,0.957774190966123,16.5822672088244,5.83184884587027,0.778364498144769
"data1274",-59.756917,-34.923183,"2011-05-19 00:00:00",6.23213310882567,"SP",0,30,39,2.24264894515153,16,1004.97212098972,135,32,114250.387869123,-3.13978829631921e-05,400,72,24,397.750082826594,0.348443527321927,9.6589705969567,7.95934815177716,0.674221763660963,4142.30832564499,-462.998343468113,334.387986999306,-1.17848354468508e-05,-1.96130476531769e-05,0.00469930386893215,17.1217859810016,14,47.2616698302673,-140.134104935325,10.972120989718,1.07567718658476,17.0014264586338,8.27362465326655,1.10376187943775
"data1275",-59.729339,-29.258339,"1994-01-01 00:00:00",3.2345962953365,"SP",0,30,43,3.62770564468695,19,1214,121,32,84615.3173798951,-1.87465321922155e-05,500,72,27,328,0.00330604574050558,3.98069573622762,7.98843274943242,0.501653022870253,3549,-472,73,-9.00159654640555e-06,-9.74493449043271e-06,0.0056121123444946,19.2178022154191,14,48.7263394441714,-238.363505184378,18,1.2118248707044,16.5977594391515,19.0905715341441,1.63844216227506
"data1276",-69.595333,-51.657444,"2011-02-25 00:00:00",5.26496849124302,"SP",0,30,13.582708267706,3.1283852193134,7,225.302934373091,103,17,228546.974035807,-3.59403189198685e-05,150,72,11,471.777426034665,0.293962799000785,7.84272311438191,10.8389137274005,0.353018600499607,1692.09752825675,-141.68939484195,147.49616460752,-6.61592470640973e-06,-2.93243926119613e-05,0.00691521902615682,33.7330770331148,2,29.0069900294452,-331.380444010923,8.04018020387785,1.71505329490587,16.7690797187775,61.822200962485,2.73337722439086
"data1277",-68.774722,-49.841839,"2011-03-01 00:00:00",4.19261480885605,"SP",0,30,11,4.70543140514979,8,187,107,20,63635.86989786,7.76999131806886e-05,162,80,15,559,0.191197953372186,4.96462980128926,6.71579127615274,0.595598976686093,1038,-23,50.3457468010569,3.67364851359153e-05,4.09634251216614e-05,0.00262708754432149,73.3408166776871,2,118.297427514128,-142.676389853809,5,1.33743359404172,17.0192064722602,49.7946413162487,2.25140573093349
"data1278",-59.845556,-28.958917,"1994-01-01 00:00:00",4.95565045646122,"SP",0,30,42,3.20347985907847,20,1194.69206980499,123.261586039003,33,119185.290486892,-5.29376347536327e-05,533.880538964191,72,28,330.81462337596,0.00330450840112855,4.55054204528392,7.98872632830191,0.500759892856737,3341.61586039003,-532.059730517904,35.7219350639395,-1.94011160038944e-05,-3.3536519974905e-05,0.00442542433352746,8.36116751231066,14,61.2231242408282,-232.793536390091,18.1853766240403,1.42658175028043,17.0508062594915,8.3359551584487,0.973664449840769
"data1279",-64.89525,-24.641278,"2011-08-23 00:00:00",4.82388130491106,"SP",0,30,21,5.22708766364665,19,509,136,31,720901.599117239,-2.38313968438528e-05,450,52,28,249,0.778116304355574,0.192687883080728,3.95275843848812,0.110941852231299,3192,-850,-215,6.9291144224004e-06,-3.07605106174999e-05,0.00932747040963452,44.0778068952125,14,617.249883350087,-400.92970382972,11,2.07784653493179,17.7092497275944,353.532863692534,0
