"ID","X","Y","Date","OCSKGM","type","top","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005"
"data1233",-57.360722,-36.222139,1974-12-01,16.0556664980301,"SP",0,16.0556664980301,16.0556664980301,16.0556664980301,16.0556664980301,16.0556664980301,16.0556664980301,16.0556664980301,16.0556664980301,16.0556664980301,16.0556664980301,16.0556664980301
"data1234",-63.0867,-34.0625,1978-11-08,5.15701490311787,"SP",0,4.21534398180855,4.21534398180855,4.21534398180855,4.21534398180855,4.21534398180855,4.21534398180855,4.21534398180855,4.21534398180855,4.21534398180855,4.21534398180855,4.21534398180855
"data1235",-60.642322,-37.470622,1985-12-05,9.38460249406468,"SP",0,9.38460249406468,9.38460249406468,9.38460249406468,9.38460249406468,9.38460249406468,9.38460249406468,9.38460249406468,9.38460249406468,9.38460249406468,9.38460249406468,9.38460249406468
"data1236",-64.1294,-30.7225,2000-09-13,4.73970176196638,"SP",0,4.29268152998828,4.27893639487858,4.26519125976888,4.25144612465918,4.23770098954947,4.22395585443977,4.21021071933007,4.19646558422037,4.18272044911066,4.24670168319545,4.31068291728023
"data1237",-63.5078,-31.1639,2007-06-15,6.42715823387191,"SP",0,6.4895080958987,6.47086933702047,6.45223057814224,6.43359181926402,6.41495306038579,6.39631430150756,6.37767554262933,6.3590367837511,6.34039802487287,6.25363781587384,6.1668776068748
"data1238",-59.87302,-37.081025,1970-09-15,8.46311136522439,"SP",0,8.46311136522439,8.46311136522439,8.46311136522439,8.46311136522439,8.46311136522439,8.46311136522439,8.46311136522439,8.46311136522439,8.46311136522439,8.46311136522439,8.46311136522439
"data1239",-68.488917,-53.097111,2011-02-23,9.73721154577642,"SP",0,9.73721154577642,9.73721154577642,9.73721154577642,9.73721154577642,9.73721154577642,9.73721154577642,9.73721154577642,9.73721154577642,9.73721154577642,9.73721154577642,9.73721154577642
"data1240",-69.557611,-51.176694,2011-02-26,4.99105790361538,"SP",0,4.99105790361538,4.99105790361538,4.99105790361538,4.99105790361538,4.99105790361538,4.99105790361538,4.99105790361538,4.99105790361538,4.99105790361538,4.99105790361538,4.99105790361538
"data1241",-62.1525,-32.4114,1971-10-22,6.43674171249353,"SP",0,5.98114913408324,5.98114913408324,5.98114913408324,5.98114913408324,5.98114913408324,5.98114913408324,5.98114913408324,5.98114913408324,5.98114913408324,5.98114913408324,5.98114913408324
"data1242",-60.9025,-30.874722,1994-01-01,4.34509660213682,"SP",0,3.73265523606564,3.73265523606564,3.73265523606564,3.70006701154961,3.66747878703358,3.63489056251756,3.60230233800153,3.5697141134855,3.53712588896948,3.58198901138654,3.6268521338036
"data1243",-69.595889,-51.301389,2011-02-26,6.62520136698535,"SP",0,6.62520136698535,6.62520136698535,6.62520136698535,6.62520136698535,6.62520136698535,6.62520136698535,6.62520136698535,6.62520136698535,6.62520136698535,6.62520136698535,6.62520136698535
"data1244",-69.636111,-51.530556,2011-02-26,6.05133780706483,"SP",0,6.05133780706483,6.05133780706483,6.05133780706483,6.05133780706483,6.05133780706483,6.05133780706483,6.05133780706483,6.05133780706483,6.05133780706483,6.05133780706483,6.05133780706483
