"ID","X","Y","Date","CO_0-30","MaxDepth","Source"
"1300",-62.008958,-39.384694,1989-11-01,0.132860753724207,130,"sisINTA"
"1303",-62.970433,-38.788706,1989-11-01,0.818857373499233,140,"sisINTA"
"1304",-62.339378,-39.026253,1989-11-01,1.11888398161902,130,"sisINTA"
"1309",-62.396294,-39.140872,1989-11-01,1.59585507852679,150,"sisINTA"
"1310",-62.674864,-39.020836,1989-11-01,1.05656205403278,90,"sisINTA"
"1311",-62.452453,-38.900819,1989-11-01,0.836028414133149,100,"sisINTA"
"1314",-62.779456,-38.688872,1989-11-01,0.899357545328386,115,"sisINTA"
"1325",-62.469461,-38.982936,1989-11-01,0.624805725406423,90,"sisINTA"
"1327",-62.142578,-38.769381,1989-11-01,2.07995758264381,110,"sisINTA"
"1330",-59.158333,-34.944167,1966-10-24,1.9967817982905,84,"sisINTA"
"1337",-62.081203,-38.753744,1989-11-01,1,22,"sisINTA"
"1338",-62.037375,-38.75055,1989-11-01,1.43093258430018,105,"sisINTA"
"1339",-62.004481,-38.772672,1989-11-01,0.690765009756052,110,"sisINTA"
"1341",-62.011272,-38.841078,1989-11-01,1.61855000873696,140,"sisINTA"
"1344",-62.709797,-39.095294,1989-11-01,0.996428606654376,150,"sisINTA"
"1347",-62.020956,-38.713706,1989-12-01,0.563891521605889,110,"sisINTA"
"1349",-62.530039,-38.899939,1989-11-01,1.15584553163137,100,"sisINTA"
"1350",-62.737175,-39.124958,1989-11-01,0.839797327192056,100,"sisINTA"
"1352",-62.807042,-39.083028,1991-05-01,0.382431743206571,140,"sisINTA"
"1356",-62.618333,-39.393333,1995-01-01,0.556098375753146,60,"sisINTA"
"1357",-62.716442,-39.496522,1995-01-01,1.13050864802768,107,"sisINTA"
"1358",-59.649167,-34.583889,1966-03-25,1.11259332483774,75,"sisINTA"
"1359",-59.662222,-34.645278,1966-09-15,2.53132718395668,190,"sisINTA"
"1361",-62.625,-39.391667,2015-06-03,0.479818412754752,140,"sisINTA"
"1369",-62.99,-39.473889,2015-06-17,1.18715481160867,54,"sisINTA"
"1382",-58.938096,-34.644167,1967-09-19,1.3501573496935,113,"sisINTA"
"1394",-59.673056,-34.536111,1966-03-25,1.6775888951062,230,"sisINTA"
"1406",-61.207778,-35.061111,1987-06-19,1.82719487112101,100,"sisINTA"
"1423",-60.616111,-35.106944,1986-12-01,1.22009438724222,100,"sisINTA"
"1445",-60.828611,-35.303611,1986-12-20,0.0820129956239226,120,"sisINTA"
"1450",-60.691944,-35.254167,1986-12-01,2.12262271608252,120,"sisINTA"
"1459",-60.58402,-35.304073,1986-12-23,1.07729242183023,120,"sisINTA"
"1461",-63.96736,-22.872045,1990-07-15,2.25622670921403,163,"sisINTA"
"1467",-60.3775,-35.098889,1979-02-01,2.30704632475899,125,"sisINTA"
"1478",-64.366257,-23.03139,1990-07-15,1.6,20,"sisINTA"
"1491",-59.372934,-32.118537,1994-07-15,1.66406056237293,150,"sisINTA"
"1508",-56.59281,-27.530254,1982-03-19,0.977694798357245,126,"sisINTA"
"1509",-58.898292,-33.578304,1976-05-06,0.566298156861853,60,"sisINTA"
"1511",-58.89235,-33.577111,1977-02-10,1.95266811344752,83,"sisINTA"
"1512",-58.88709,-33.572977,1977-02-10,2.93543043376135,40,"sisINTA"
"1513",-58.894022,-33.568428,1977-02-10,1.71286711185808,83,"sisINTA"
"1514",-59.132815,-28.967296,1970-02-18,0.868049701625033,185,"sisINTA"
"1519",-59.920833,-35.068333,1968-04-01,2.22975502310365,180,"sisINTA"
"1524",-62.3136,-33.6333,1971-12-10,1.69352573375355,117,"sisINTA"
"1525",-59.724444,-35.140833,1967-04-19,1.37749904723611,145,"sisINTA"
"1531",-62.5725,-33.6189,1972-03-23,1.26436892060777,73,"sisINTA"
"1534",-64.3653,-34.5436,1976-12-02,0.715098292069667,61,"sisINTA"
"1535",-64.2031,-32.1911,2006-10-25,0.824865446755824,90,"sisINTA"
"1537",-63.13,-31.3639,1975-11-24,1.01695533892363,53,"sisINTA"
"1540",-56.689694,-27.487159,1980-01-22,1.79447164736632,98,"sisINTA"
"1543",-63.2992,-32.3522,1978-05-30,1.03252509960808,104,"sisINTA"
"1545",-61.9333,-32.5667,1970-02-18,1.73587263822181,115,"sisINTA"
"1551",-59.486667,-35.144722,1967-11-02,2.57809715253088,150,"sisINTA"
"1560",-59.447546,-30.147707,1972-11-23,2.2830465862485,110,"sisINTA"
"1568",-58.070528,-30.357142,1982-05-14,1.75769905124984,80,"sisINTA"
"1569",-63.2456,-33.54,1986-11-02,1,27,"sisINTA"
"1570",-56.070765,-27.389752,1982-01-23,2.08635972403461,147,"sisINTA"
"1571",-58.724526,-27.55837,1981-12-02,3.89492645056137,79,"sisINTA"
"1574",-59.165272,-30.211983,1972-12-14,0.506104636832318,149,"sisINTA"
"1575",-56.311134,-27.938935,1982-02-17,0.711921472565633,156,"sisINTA"
"1578",-59.168806,-32.017275,1994-07-26,2.69311412042338,150,"sisINTA"
"1579",-59.152294,-32.068125,1994-07-27,3.06727246715029,130,"sisINTA"
"1581",-58.278992,-30.324289,1971-12-08,1.71641260494651,133,"sisINTA"
"1582",-58.317328,-30.306344,1971-12-07,2.7275260487891,155,"sisINTA"
"1583",-58.349386,-30.390797,1972-11-29,2.61101039731205,155,"sisINTA"
"1586",-60.54905,-31.831167,1970-04-22,1.31566862170609,150,"sisINTA"
"1587",-56.132221,-27.453391,1982-01-25,2.165,28,"sisINTA"
"1590",-58.853683,-33.830328,1976-10-23,6.86,15,"sisINTA"
"1591",-58.7765,-33.760513,1976-10-24,8.37547368837215,165,"sisINTA"
"1593",-56.205875,-27.719634,1981-12-18,2.5197594455485,103,"sisINTA"
"1594",-57.512859,-27.563782,1979-12-18,0.262099488720562,132,"sisINTA"
"1598",-58.374447,-28.804294,1980-10-07,0.437875328245065,132,"sisINTA"
"1599",-58.8614,-33.831532,1976-12-10,5.00695888991218,120,"sisINTA"
"1601",-59.442021,-33.276481,1976-12-04,1.4702328575892,69,"sisINTA"
"1603",-58.607589,-33.703538,1976-11-14,10.0742528202012,65,"sisINTA"
"1605",-58.79333,-33.835663,1976-10-23,4.62070633706602,70,"sisINTA"
"1606",-58.842643,-33.837509,1976-10-23,8.65138121546961,35,"sisINTA"
"1607",-58.594874,-33.691379,1976-12-13,2.13003459697468,58,"sisINTA"
"1608",-60.532065,-31.851735,1970-07-14,1.2783330907512,115,"sisINTA"
"1609",-60.526795,-31.852707,1970-07-27,2.0512332038729,167,"sisINTA"
"1610",-59.411779,-32.900987,1970-09-25,1.60463069928111,210,"sisINTA"
"1612",-59.664534,-31.200734,1971-06-25,2.78636769119096,118,"sisINTA"
"1613",-59.659609,-31.183578,1971-06-30,1.46057601613003,150,"sisINTA"
"1614",-59.660472,-31.221179,1971-06-30,2.82280310904353,145,"sisINTA"
"1615",-59.868772,-31.126492,1972-08-10,0.427354722079541,125,"sisINTA"
"1616",-56.07498,-27.742244,1981-12-11,2.03637689948544,47,"sisINTA"
"1617",-56.689444,-27.525481,1982-03-24,1.95909852678524,98,"sisINTA"
"1618",-59.229527,-29.348035,1970-12-16,0.189473479938544,230,"sisINTA"
"1619",-58.662317,-29.675937,1986-08-21,2.6402211831639,108,"sisINTA"
"1620",-59.841082,-31.210429,1972-08-10,2.66084123525112,103,"sisINTA"
"1621",-59.802354,-31.308831,1972-07-11,1.54296968239497,120,"sisINTA"
"1622",-60.046066,-31.664595,1972-10-10,1.74634461557922,130,"sisINTA"
"1623",-59.355931,-32.85452,1970-09-23,1.94499923389079,133,"sisINTA"
"1624",-59.348013,-32.842633,1970-09-23,2.48712150438657,145,"sisINTA"
"1625",-59.408785,-32.875715,1970-11-03,2.14600188131258,66,"sisINTA"
"1626",-58.598891,-27.391462,1971-12-07,0.727281355392602,105,"sisINTA"
"1627",-59.413728,-32.880519,1970-11-03,1.93587057389284,140,"sisINTA"
"1628",-59.371569,-32.870491,1970-11-03,2.08046364666393,135,"sisINTA"
"1629",-59.622454,-30.943216,1971-04-29,4.06868310038126,130,"sisINTA"
"1630",-59.641357,-30.912101,1971-06-03,2.34940267525475,130,"sisINTA"
"1632",-59.305605,-31.939996,1994-07-28,2.79641822632342,120,"sisINTA"
"1633",-58.580113,-27.355195,1971-12-06,0.819480807464297,104,"sisINTA"
"1634",-59.363205,-31.710134,1999-06-02,3.64389144891132,150,"sisINTA"
"1635",-58.727777,-27.560232,1981-11-24,0.384688667881771,197,"sisINTA"
"1636",-59.249395,-31.795955,1999-06-03,2.52322013396837,130,"sisINTA"
"1637",-59.361401,-31.695885,1999-06-17,2.77024124698998,130,"sisINTA"
"1638",-59.585894,-30.985457,1971-09-08,1.76210715948525,108,"sisINTA"
"1639",-59.72833,-30.883976,1971-09-08,1.71959919077637,95,"sisINTA"
"1640",-58.694827,-27.573798,1981-11-26,0.84065379312992,97,"sisINTA"
"1641",-59.605338,-30.842591,1971-09-09,1.51886637592923,115,"sisINTA"
"1642",-58.657122,-30.587851,1971-12-10,1.36689040564485,107,"sisINTA"
"1643",-58.667575,-27.567668,1971-05-01,1.65753035056558,104,"sisINTA"
"1644",-58.199534,-31.569884,1972-11-23,2.03311245056358,115,"sisINTA"
"1645",-59.36087,-31.668801,1999-06-17,3.40436632191273,108,"sisINTA"
"1646",-59.344215,-31.877211,1999-08-11,4.3780508990333,140,"sisINTA"
"1647",-59.32997,-31.87439,1999-08-19,2.68466736688595,130,"sisINTA"
"1648",-59.83346,-32.434871,2001-04-10,2.28100100611792,135,"sisINTA"
"1649",-59.734957,-32.156939,2001-05-23,2.56822979662257,120,"sisINTA"
"1650",-59.727501,-32.264869,2001-05-24,1.83324907143291,130,"sisINTA"
"1651",-58.55345,-27.879724,1980-07-18,2.00405555555556,24,"sisINTA"
"1652",-59.786796,-32.357339,2001-07-23,1.87639350791096,111,"sisINTA"
"1653",-59.879916,-32.202508,2001-07-24,1.94229641743098,140,"sisINTA"
"1654",-60.545087,-31.838197,1970-07-30,1.6402957862987,113,"sisINTA"
"1655",-58.799834,-27.963986,1980-02-15,1.00820799354851,119,"sisINTA"
"1656",-60.542747,-31.833643,1971-07-31,2.38739757228235,132,"sisINTA"
"1657",-59.356697,-32.833795,1970-09-24,2.40747999303865,115,"sisINTA"
"1658",-58.544,-27.883642,1980-02-12,1.70450404205312,105,"sisINTA"
"1659",-59.340886,-32.804952,1970-09-25,2.70737028147407,113,"sisINTA"
"1660",-59.736653,-32.870493,1970-11-04,1.56412846437478,180,"sisINTA"
"1661",-58.753139,-27.922911,1980-02-14,0.250581458313056,102,"sisINTA"
"1662",-59.735946,-32.877977,1970-11-04,1.37483564776657,121,"sisINTA"
"1663",-58.562303,-30.624079,1972-03-22,1.99010535793129,126,"sisINTA"
