"ID","X","Y","Date","OCSKGM","Source","type","top","bottom"
"1202",-59.415854,-31.211776,1977-08-29 00:00:00,14.1777063079477,"sisINTA","SP",0,30
"1203",-59.384313,-31.244038,1977-08-19 00:00:00,11.5172083196136,"sisINTA","SP",0,30
"1204",-59.460602,-31.075674,1985-10-10 00:00:00,11.0561377157834,"sisINTA","SP",0,30
"1205",-59.570071,-32.954857,1992-08-25 00:00:00,7.97885821380577,"sisINTA","SP",0,30
"1206",-59.544739,-32.921128,1992-08-26 00:00:00,6.63791267901397,"sisINTA","SP",0,30
"1207",-59.54496,-32.888102,1992-08-27 00:00:00,10.0441270799578,"sisINTA","SP",0,30
"1208",-59.583818,-32.71649,1992-09-23 00:00:00,8.50765483950059,"sisINTA","SP",0,30
"1209",-59.645297,-32.819013,1992-09-25 00:00:00,11.3617917239717,"sisINTA","SP",0,30
"1210",-59.68025,-32.855654,1992-09-25 00:00:00,9.69087178132023,"sisINTA","SP",0,30
"1211",-59.576318,-32.600983,1992-10-07 00:00:00,10.1598430959073,"sisINTA","SP",0,30
"1212",-59.693176,-32.786559,1992-10-20 00:00:00,7.77367327370821,"sisINTA","SP",0,30
"1213",-59.762167,-32.761948,1992-10-21 00:00:00,3.77149046039133,"sisINTA","SP",0,30
"1214",-59.769362,-32.606685,1992-10-22 00:00:00,8.08122138999827,"sisINTA","SP",0,30
"1215",-59.272674,-33.102471,1992-10-22 00:00:00,2.73522414605305,"sisINTA","SP",0,30
"1216",-59.467098,-33.13198,1992-11-04 00:00:00,8.89207938654294,"sisINTA","SP",0,30
"1217",-59.574993,-33.112319,1992-11-04 00:00:00,4.04423561579082,"sisINTA","SP",0,30
"1218",-59.173223,-32.837552,1992-11-05 00:00:00,6.50906872043207,"sisINTA","SP",0,30
"1219",-59.754988,-32.64059,1992-12-06 00:00:00,7.88906108446633,"sisINTA","SP",0,30
"1220",-59.762969,-32.899625,1992-12-17 00:00:00,2.3425952912089,"sisINTA","SP",0,30
"1221",-58.102499,-31.659336,1972-11-22 00:00:00,12.5498103038931,"sisINTA","SP",0,30
"1222",-58.113021,-31.368462,1972-05-31 00:00:00,1.11651200438009,"sisINTA","SP",0,30
"1223",-58.116206,-31.356321,1972-08-24 00:00:00,1.5296981043075,"sisINTA","SP",0,30
"1224",-58.114646,-31.356403,1972-06-02 00:00:00,3.80957848751314,"sisINTA","SP",0,30
"1225",-59.749693,-32.965768,1993-04-13 00:00:00,10.0246105490927,"sisINTA","SP",0,30
"1226",-59.261118,-32.584669,1994-05-31 00:00:00,11.301505137013,"sisINTA","SP",0,30
"1227",-59.361199,-32.14476,1994-06-01 00:00:00,10.0255690698715,"sisINTA","SP",0,30
"1228",-59.323153,-32.089463,1994-06-02 00:00:00,8.95531008079529,"sisINTA","SP",0,30
"1230",-59.341228,-31.970716,1994-06-16 00:00:00,12.4326242003429,"sisINTA","SP",0,30
"1232",-59.266195,-31.934036,1994-06-17 00:00:00,12.5112331827563,"sisINTA","SP",0,30
"1234",-59.111722,-32.093497,1994-07-13 00:00:00,11.3295712247942,"sisINTA","SP",0,30
"1235",-59.116538,-32.093239,1994-07-14 00:00:00,13.2728725461456,"sisINTA","SP",0,30
"1236",-59.0675,-34.869722,1967-03-01 00:00:00,4.28291724744877,"sisINTA","SP",0,30
"1237",-58.463762,-31.44775,1974-11-28 00:00:00,9.08117423416211,"sisINTA","SP",0,30
"1245",-62.670556,-38.769167,1989-11-01 00:00:00,0.792614981425889,"sisINTA","SP",0,30
"1246",-59.551319,-34.864839,1966-11-18 00:00:00,3.51262243098577,"sisINTA","SP",0,30
"1247",-59.556355,-34.877088,1966-11-18 00:00:00,8.49125091022453,"sisINTA","SP",0,30
"125",-60.7425,-35.435833,1967-03-01 00:00:00,8.60330495760276,"sisINTA","SP",0,30
"1252",-59.921111,-35.017222,1966-08-25 00:00:00,12.8775138472598,"sisINTA","SP",0,30
"1253",-62.609167,-38.728056,1989-11-01 00:00:00,3.46646052649271,"sisINTA","SP",0,30
"1254",-62.358936,-39.093697,1989-11-01 00:00:00,2.31516758895905,"sisINTA","SP",0,30
"1255",-62.654372,-38.8988,1989-11-01 00:00:00,3.52517276132594,"sisINTA","SP",0,30
"1256",-62.01485,-39.379772,1989-11-01 00:00:00,6.87453407751897,"sisINTA","SP",0,30
"1257",-56.612817,-27.4688,1982-03-17 00:00:00,7.67867438866507,"sisINTA","SP",0,30
"1258",-62.364219,-39.258958,1989-11-01 00:00:00,4.13221846094736,"sisINTA","SP",0,30
"1262",-62.781267,-38.939481,1989-11-01 00:00:00,2.65313865900279,"sisINTA","SP",0,30
"1264",-59.606934,-34.888701,1966-10-20 00:00:00,14.112100867988,"sisINTA","SP",0,30
"1267",-62.611856,-38.736653,1989-11-01 00:00:00,0.722438188663693,"sisINTA","SP",0,30
"1268",-59.746556,-34.836315,1966-10-18 00:00:00,6.33361484344751,"sisINTA","SP",0,30
"1269",-62.215928,-38.773747,1989-11-01 00:00:00,2.79624256998553,"sisINTA","SP",0,30
"1270",-62.341894,-38.953889,1989-11-01 00:00:00,0.914650547682977,"sisINTA","SP",0,30
"1271",-62.168466,-39.314142,1989-11-01 00:00:00,11.9942657735696,"sisINTA","SP",0,30
"1272",-62.913303,-38.727758,1989-11-01 00:00:00,10.239730522517,"sisINTA","SP",0,30
"1273",-62.767567,-38.817728,1989-11-01 00:00:00,1.23080646108514,"sisINTA","SP",0,30
"1274",-62.477964,-38.893047,1989-11-01 00:00:00,0.730355365649917,"sisINTA","SP",0,30
"1282",-62.965144,-38.805656,1989-11-01 00:00:00,3.35565379385329,"sisINTA","SP",0,30
"1283",-62.9732,-38.846508,1989-11-01 00:00:00,2.56871794185549,"sisINTA","SP",0,30
"1284",-62.976775,-38.706192,1989-11-01 00:00:00,2.26303620002203,"sisINTA","SP",0,30
"1285",-62.346186,-38.960406,1989-11-01 00:00:00,6.5061305780797,"sisINTA","SP",0,30
