"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005"
"5057",-69.864333,-41.555306,1983-02-11,0.966580098501975,"sisINTA","SP",0,30,0.966580098501975,0.966580098501975,0.966580098501975,0.966580098501975,0.966580098501975,0.966580098501975,0.966580098501975,0.966580098501975,0.966580098501975,0.966580098501975,0.966580098501975
"5058",-69.450889,-41.378528,1983-02-10,1.73597371414369,"sisINTA","SP",0,30,1.73597371414369,1.73597371414369,1.73597371414369,1.73597371414369,1.73597371414369,1.73597371414369,1.73597371414369,1.73597371414369,1.73597371414369,1.73597371414369,1.73597371414369
"5059",-69.166417,-41.306194,1983-02-08,1.38831543174242,"sisINTA","SP",0,30,1.38831543174242,1.38831543174242,1.38831543174242,1.38831543174242,1.38831543174242,1.38831543174242,1.38831543174242,1.38831543174242,1.38831543174242,1.38831543174242,1.38831543174242
"506",-60.33333184,-34.14999775,1965-12-14,7.27450312257451,"sisINTA","SP",0,30,6.98352299767153,6.98352299767153,6.98352299767153,6.98352299767153,6.98352299767153,6.98352299767153,6.98352299767153,6.98352299767153,6.98352299767153,6.98352299767153,6.98352299767153
"5060",-69.440972,-41.259444,1982-03-08,0.577009384848389,"sisINTA","SP",0,30,0.577009384848389,0.577009384848389,0.577009384848389,0.577009384848389,0.577009384848389,0.577009384848389,0.577009384848389,0.577009384848389,0.577009384848389,0.577009384848389,0.577009384848389
"5061",-69.237722,-41.303528,1983-02-09,1.30301359122462,"sisINTA","SP",0,30,1.30301359122462,1.30301359122462,1.30301359122462,1.30301359122462,1.30301359122462,1.30301359122462,1.30301359122462,1.30301359122462,1.30301359122462,1.30301359122462,1.30301359122462
"5062",-70.684556,-41.496833,1983-04-12,2.82087097076042,"sisINTA","SP",0,30,2.82087097076042,2.82087097076042,2.82087097076042,2.82087097076042,2.82087097076042,2.82087097076042,2.82087097076042,2.82087097076042,2.82087097076042,2.82087097076042,2.82087097076042
"5063",-70.8,-36.683333,1990-11-01,5.72682511774979,"sisINTA","SP",0,30,5.72682511774979,5.72682511774979,5.72682511774979,5.72682511774979,5.72682511774979,5.72682511774979,5.72682511774979,5.72682511774979,5.72682511774979,5.72682511774979,5.72682511774979
"5064",-70.783333,-36.7,1990-11-01,3.79348470759095,"sisINTA","SP",0,30,3.79348470759095,3.79348470759095,3.79348470759095,3.79348470759095,3.79348470759095,3.79348470759095,3.79348470759095,3.79348470759095,3.79348470759095,3.79348470759095,3.79348470759095
"5067",-70.65,-37.133333,1990-11-01,8.84491426697019,"sisINTA","SP",0,30,8.84491426697019,8.84491426697019,8.84491426697019,8.84491426697019,8.84491426697019,8.84491426697019,8.84491426697019,8.84491426697019,8.84491426697019,8.84491426697019,8.84491426697019
"507",-60.342172,-34.138687,1965-12-14,6.46127535007089,"sisINTA","SP",0,30,6.20282433606805,6.20282433606805,6.20282433606805,6.20282433606805,6.20282433606805,6.20282433606805,6.20282433606805,6.20282433606805,6.20282433606805,6.20282433606805,6.20282433606805
"5070",-65.270278,-32.083889,1989-02-27,5.39319658867073,"sisINTA","SP",0,30,3.69178328805642,3.69178328805642,3.69178328805642,3.69178328805642,3.69178328805642,3.69178328805642,3.69178328805642,3.69178328805642,3.67614301794927,3.74894577869974,3.82174853945021
"5071",-70.983333,-36.883333,1990-11-01,6.30640688516495,"sisINTA","SP",0,30,6.30640688516495,6.30640688516495,6.30640688516495,6.30640688516495,6.30640688516495,6.30640688516495,6.30640688516495,6.30640688516495,6.30640688516495,6.30640688516495,6.30640688516495
"5072",-66.012778,-33.429722,1981-05-12,2.9314480347704,"sisINTA","SP",0,30,2.2355809002766,2.2355809002766,2.2355809002766,2.2355809002766,2.2355809002766,2.2355809002766,2.2355809002766,2.2355809002766,2.2355809002766,2.2355809002766,2.2355809002766
"5073",-65.995,-33.416389,1981-05-12,3.08916547874188,"sisINTA","SP",0,30,2.35585937739813,2.35585937739813,2.35585937739813,2.35585937739813,2.35585937739813,2.35585937739813,2.35585937739813,2.35585937739813,2.35585937739813,2.35585937739813,2.35585937739813
"5074",-66.039167,-33.450556,1981-05-12,3.04048647890319,"sisINTA","SP",0,30,2.31873579854115,2.31873579854115,2.31873579854115,2.31873579854115,2.31873579854115,2.31873579854115,2.31873579854115,2.31873579854115,2.31873579854115,2.31873579854115,2.31873579854115
"5075",-66.021667,-33.181667,1981-05-18,6.23757422305004,"sisINTA","SP",0,30,4.75689885398242,4.75689885398242,4.75689885398242,4.75689885398242,4.75689885398242,4.75689885398242,4.75689885398242,4.75689885398242,4.75689885398242,4.75689885398242,4.75689885398242
"5077",-69.693083,-41.177806,1983-02-12,0.670044145183793,"sisINTA","SP",0,30,0.670044145183793,0.670044145183793,0.670044145183793,0.670044145183793,0.670044145183793,0.670044145183793,0.670044145183793,0.670044145183793,0.670044145183793,0.670044145183793,0.670044145183793
