"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005","optional"
"1739",-59.993737,-32.151876,1992-11-25,17.1948224910772,"sisINTA","SP",0,30,12.8618303922607,12.8618303922607,12.8618303922607,12.8618303922607,12.8618303922607,12.8119654070366,12.7621004218124,12.7122354365883,12.6623704513642,12.8944833601712,13.1265962689783,TRUE
"1742",-58.562978,-30.71521,1979-06-28,11.5184637527045,"sisINTA","SP",0,30,11.5184637527045,11.5184637527045,11.5184637527045,11.5184637527045,11.5184637527045,11.5184637527045,11.5184637527045,11.5184637527045,11.5184637527045,11.5184637527045,11.5184637527045,TRUE
"1743",-58.61659,-30.974719,1979-11-22,15.586830407649,"sisINTA","SP",0,30,15.586830407649,15.586830407649,15.586830407649,15.586830407649,15.586830407649,15.586830407649,15.586830407649,15.586830407649,15.586830407649,15.586830407649,15.586830407649,TRUE
"1744",-58.71076,-30.876296,1979-12-14,8.85493544283482,"sisINTA","SP",0,30,8.85493544283482,8.85493544283482,8.85493544283482,8.85493544283482,8.85493544283482,8.85493544283482,8.85493544283482,8.85493544283482,8.85493544283482,8.85493544283482,8.85493544283482,TRUE
"1745",-58.594024,-30.724549,1980-04-16,6.87718226451712,"sisINTA","SP",0,30,6.87718226451712,6.87718226451712,6.87718226451712,6.87718226451712,6.87718226451712,6.87718226451712,6.87718226451712,6.87718226451712,6.87718226451712,6.87718226451712,6.87718226451712,TRUE
"1746",-58.773485,-30.762208,1980-05-08,7.12284687849407,"sisINTA","SP",0,30,7.12284687849407,7.12284687849407,7.12284687849407,7.12284687849407,7.12284687849407,7.12284687849407,7.12284687849407,7.12284687849407,7.12284687849407,7.12284687849407,7.12284687849407,TRUE
"1747",-58.934499,-30.676915,1980-10-15,9.0609140196973,"sisINTA","SP",0,30,9.0609140196973,9.0609140196973,9.0609140196973,9.0609140196973,9.0609140196973,9.0609140196973,9.0609140196973,9.0609140196973,9.0609140196973,9.0609140196973,9.0609140196973,TRUE
"1751",-58.876306,-30.833333,1981-04-24,12.518083931417,"sisINTA","SP",0,30,12.518083931417,12.518083931417,12.518083931417,12.518083931417,12.518083931417,12.518083931417,12.518083931417,12.518083931417,12.518083931417,12.518083931417,12.518083931417,TRUE
"1752",-58.862008,-31.035455,1982-08-26,4.86000789823807,"sisINTA","SP",0,30,4.86000789823807,4.86000789823807,4.86000789823807,4.86000789823807,4.86000789823807,4.86000789823807,4.86000789823807,4.86000789823807,4.86000789823807,4.86000789823807,4.86000789823807,TRUE
"1753",-58.946692,-31.199039,1982-11-23,13.8307233043502,"sisINTA","SP",0,30,13.8307233043502,13.8307233043502,13.8307233043502,13.8307233043502,13.8307233043502,13.8307233043502,13.8307233043502,13.8307233043502,13.8307233043502,13.8307233043502,13.8307233043502,TRUE
"1754",-58.907178,-31.071123,1982-11-23,12.493486649707,"sisINTA","SP",0,30,12.493486649707,12.493486649707,12.493486649707,12.493486649707,12.493486649707,12.493486649707,12.493486649707,12.493486649707,12.493486649707,12.493486649707,12.493486649707,TRUE
"1755",-59.14287,-31.078432,1982-12-08,6.56094609001676,"sisINTA","SP",0,30,6.56094609001676,6.56094609001676,6.56094609001676,6.56094609001676,6.56094609001676,6.56094609001676,6.56094609001676,6.56094609001676,6.56094609001676,6.56094609001676,6.56094609001676,TRUE
